"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Venda";"Quantidade Perda";"% Part. Qt.Perda";"Tot Perda  Liquido";"Tot Perda  Bruto";"% Partic. Cto Lanc.";"Vlr Tot.Perda Preço Atual";"% Partic. Prec.Atual";"% Vlr. Perda / Vlr.Cto Estq";"Impostos  Vda Realizada";"Lucratividade Valor Perdido";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Perdida";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"Custo Fiscal Total";"IBS MUN s/Venda";"IBS UF s/Venda";"CBS s/Venda";"IS s/Venda"
"38,48";"CARLIN : TOMATE EXTRA Kg";"23";"KG 1";"12,400";"2,68";"80,60";"80,60";"2,03";"49,48";"0,85";"14,32";"0,00";"-35,70";"-3,28";"-72,16";"-38,62";"-62,91";"-35,70";"-3,28";"-72,16";"0,012";"0,43";"0,012";"80,60";"80,60";"0,00";"0,00";"4,58";"0,00";"0,82";"3,76";"0,00";"50,16";"0,00";"0,00";"0,00";"0,00"
"38,65";"IARA : BOLO SECO DE COCO GELADO Kg";"18213";"KG 1";"0,404";"0,09";"6,71";"7,92";"0,17";"16,16";"0,28";"";"0,00";"6,02";"0,55";"37,25";"104,19";"51,03";"6,02";"0,55";"37,25";"0,000";"0,00";"0,000";"7,91";"6,70";"0,00";"0,00";"3,43";"1,94";"0,27";"1,23";"0,00";"6,45";"0,00";"0,00";"0,00";"0,00"
"39,06";"IARA : BOMBA DE CHOCOLATE Kg";"18250";"KG 1";"0,730";"0,16";"16,45";"19,58";"0,41";"30,65";"0,53";"-403,69";"0,00";"7,24";"0,66";"23,62";"54,76";"35,38";"7,24";"0,66";"23,62";"0,001";"0,04";"0,001";"19,81";"16,90";"0,00";"0,00";"6,51";"3,68";"0,51";"2,33";"0,00";"16,90";"0,00";"0,00";"0,00";"0,00"
"39,48";"IARA : BOMBA DE DOCE DE LEITE Kg";"18253";"KG 1";"0,796";"0,17";"16,55";"19,32";"0,42";"33,42";"0,57";"-84,62";"0,00";"9,76";"0,90";"29,21";"74,57";"42,72";"9,76";"0,90";"29,21";"0,001";"0,04";"0,001";"19,15";"16,56";"0,00";"0,00";"7,10";"4,01";"0,55";"2,54";"0,00";"17,40";"0,00";"0,00";"0,00";"0,00"
"39,52";"IARA : BRIGADEIRO Kg";"18159";"KG 1";"0,050";"0,01";"1,68";"2,04";"0,04";"4,50";"0,08";"";"0,00";"1,89";"0,17";"41,95";"123,90";"55,34";"1,89";"0,17";"41,95";"0,000";"0,00";"0,000";"2,01";"1,66";"0,00";"0,00";"0,96";"0,54";"0,07";"0,34";"0,00";"1,66";"0,00";"0,00";"0,00";"0,00"
"39,53";"IARA : CHIPA C/ LINGUIÇA CALABRESA Kg";"18477";"KG 1";"0,286";"0,06";"0,48";"0,58";"0,01";"12,30";"0,21";"";"0,00";"9,19";"0,84";"74,78";"2018,39";"95,28";"9,19";"0,84";"74,78";"0,000";"0,00";"0,000";"0,58";"0,49";"0,00";"0,00";"2,61";"1,48";"0,20";"0,93";"0,00";"0,49";"0,00";"0,00";"0,00";"0,00"
"39,69";"IARA : CHIPA DE QUEIJO Kg";"18478";"KG 1";"0,412";"0,09";"6,30";"7,72";"0,16";"17,71";"0,30";"-30,20";"0,00";"7,57";"0,69";"42,72";"126,52";"55,85";"7,57";"0,69";"42,72";"0,000";"0,00";"0,000";"7,82";"6,38";"0,00";"0,00";"3,76";"2,13";"0,29";"1,35";"0,00";"6,38";"0,00";"0,00";"0,00";"0,00"
"39,88";"IARA : ESPETO DE MORANGO C/ CHOCOLATE Kg";"17876";"KG 1";"0,272";"0,06";"7,61";"8,00";"0,19";"13,60";"0,23";"-3,70";"0,00";"3,08";"0,28";"22,68";"69,65";"41,05";"3,08";"0,28";"22,68";"0,000";"0,00";"0,000";"8,01";"7,62";"0,00";"0,00";"2,89";"1,63";"0,22";"1,03";"0,00";"7,62";"0,00";"0,00";"0,00";"0,00"
"40,82";"IARA : LANCHE PRESUNTO/QUEIJO Kg";"18233";"KG 1";"1,096";"0,24";"37,26";"41,74";"0,94";"60,27";"1,04";"-0,92";"0,00";"10,20";"0,94";"16,92";"44,41";"30,75";"10,20";"0,94";"16,92";"0,001";"0,04";"0,001";"41,74";"37,26";"0,00";"0,00";"12,81";"7,23";"0,99";"4,58";"0,00";"32,79";"0,00";"0,00";"0,00";"0,00"
"40,85";"IARA : LANCHE SALAME Kg";"18240";"KG 1";"0,756";"0,16";"1,31";"1,31";"0,03";"41,57";"0,71";"-9,30";"0,00";"31,43";"2,88";"75,61";"3089,62";"96,86";"31,43";"2,88";"75,61";"0,001";"0,04";"0,001";"1,30";"1,30";"0,00";"0,00";"8,83";"4,99";"0,69";"3,16";"0,00";"1,30";"0,00";"0,00";"0,00";"0,00"
"41,23";"IARA : PUDIM DE MARACUJÁ GELADO Kg";"18066";"KG 1";"0,566";"0,12";"15,28";"17,12";"0,38";"22,63";"0,39";"22,28";"0,00";"2,54";"0,23";"11,23";"32,24";"24,38";"2,54";"0,23";"11,23";"0,001";"0,04";"0,001";"17,12";"15,28";"0,00";"0,00";"4,81";"2,72";"0,37";"1,72";"0,00";"4,33";"0,00";"0,00";"0,00";"0,00"
"41,23";"IARA : PÃO DE COCO RECHEADO DOCE LEITE Kg";"18550";"KG 1";"0,156";"0,03";"0,00";"0,00";"0,00";"5,15";"0,09";"";"0,00";"4,05";"0,37";"78,75";"";"100,00";"4,05";"0,37";"78,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"1,09";"0,62";"0,08";"0,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"41,74";"IARA : PÃO DE QUEIJO EMP PARMESÃO Kg";"14877";"KG 1";"0,903";"0,20";"20,37";"22,29";"0,51";"45,14";"0,78";"2,17";"0,00";"12,47";"1,14";"27,62";"102,50";"50,62";"12,47";"1,14";"27,62";"0,001";"0,04";"0,001";"22,29";"20,37";"0,00";"0,00";"12,30";"8,13";"0,74";"3,43";"0,00";"20,37";"0,00";"0,00";"0,00";"0,00"
"42,08";"IARA : ROSCA C/ FRUTAS CRISTALIZADAS Kg";"18100";"KG 1";"1,054";"0,23";"13,70";"13,70";"0,34";"21,07";"0,36";"-1,36";"0,00";"2,89";"0,27";"13,72";"53,77";"34,97";"2,89";"0,27";"13,72";"0,001";"0,04";"0,001";"13,70";"13,70";"0,00";"0,00";"4,48";"2,53";"0,35";"1,60";"0,00";"13,70";"0,00";"0,00";"0,00";"0,00"
"42,79";"IARA : ROSCA DE AÇÚCAR Kg";"17520";"KG 1";"3,084";"0,67";"28,27";"32,11";"0,71";"67,82";"1,17";"-39,44";"0,00";"25,04";"2,30";"36,93";"110,51";"52,50";"25,04";"2,30";"36,93";"0,003";"0,11";"0,003";"32,22";"28,36";"0,00";"0,00";"14,41";"8,14";"1,12";"5,15";"0,00";"28,36";"0,00";"0,00";"0,00";"0,00"
"42,94";"IARA : ROSCA DE COCO Kg";"17521";"KG 1";"0,276";"0,06";"5,96";"7,22";"0,15";"6,07";"0,10";"-25,19";"0,00";"-1,19";"-0,11";"-19,59";"-15,96";"-18,99";"-1,19";"-0,11";"-19,59";"0,000";"0,00";"0,000";"7,22";"5,97";"0,00";"0,00";"1,29";"0,73";"0,10";"0,46";"0,00";"5,64";"0,00";"0,00";"0,00";"0,00"
"44,48";"IARA : ROSCA DE CREME Kg";"17523";"KG 1";"4,944";"1,07";"61,09";"75,86";"1,54";"108,72";"1,87";"-189,24";"0,00";"24,51";"2,25";"22,55";"43,27";"30,20";"24,51";"2,25";"22,55";"0,005";"0,18";"0,005";"75,88";"61,10";"0,00";"0,00";"23,10";"13,05";"1,79";"8,26";"0,00";"64,08";"0,00";"0,00";"0,00";"0,00"
"44,48";"IARA : SONHO C/ CREME AVELÃ Kg";"18178";"KG 1";"0,112";"0,02";"0,00";"0,00";"0,00";"3,69";"0,06";"";"0,00";"2,91";"0,27";"78,75";"";"100,00";"2,91";"0,27";"78,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,79";"0,44";"0,06";"0,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"44,48";"IARA : SONHO DE CREME Kg";"18142";"KG 1";"0,166";"0,04";"0,00";"0,00";"0,00";"4,98";"0,09";"";"0,00";"3,92";"0,36";"78,75";"";"100,00";"3,92";"0,36";"78,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"1,06";"0,60";"0,08";"0,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"44,67";"IARA : TORTINHA DE MORANGO Kg";"17930";"KG 1";"0,256";"0,06";"7,42";"7,42";"0,19";"11,52";"0,20";"-0,34";"0,00";"3,03";"0,28";"26,29";"55,14";"35,54";"3,03";"0,28";"26,29";"0,000";"0,00";"0,000";"7,42";"7,42";"0,00";"0,00";"1,07";"0,00";"0,19";"0,88";"0,00";"7,42";"0,00";"0,00";"0,00";"0,00"
"44,71";"LUCIANO : CARCAÇA SUÍNA Kg";"14518";"KG 1";"0,118";"0,03";"1,46";"1,46";"0,04";"3,54";"0,06";"0,06";"0,00";"1,59";"0,15";"44,90";"141,85";"58,65";"1,59";"0,15";"44,90";"0,000";"0,00";"0,000";"1,46";"1,46";"0,00";"0,00";"0,49";"0,16";"0,06";"0,27";"0,00";"1,48";"0,00";"0,00";"0,00";"0,00"
"47,52";"LUCIANO : CONTRA FILÉ PEÇA Kg";"14605";"KG 1";"2,204";"0,48";"111,63";"111,63";"2,81";"154,26";"2,65";"1,01";"0,00";"21,41";"1,96";"13,88";"38,18";"27,63";"21,41";"1,96";"13,88";"0,002";"0,07";"0,002";"111,63";"111,63";"0,00";"0,00";"21,21";"6,94";"2,55";"11,72";"0,00";"105,01";"0,00";"0,00";"0,00";"0,00"
"51,15";"LUCIANO : COSTELA BOVINA MINGA Kg";"17365";"KG 1";"7,880";"1,71";"144,28";"144,28";"3,63";"236,32";"4,06";"1,71";"0,00";"59,54";"5,46";"25,20";"63,79";"38,95";"59,54";"5,46";"25,20";"0,008";"0,29";"0,008";"144,28";"144,28";"0,00";"0,00";"32,49";"10,63";"3,90";"17,96";"0,00";"146,45";"0,00";"0,00";"0,00";"0,00"
"51,31";"LUCIANO : COSTELA SUÍNA CONGELADO Kg";"14414";"KG 1";"0,412";"0,09";"6,44";"6,96";"0,16";"11,12";"0,19";"0,07";"0,00";"3,15";"0,29";"28,35";"59,70";"37,38";"3,15";"0,29";"28,35";"0,412";"14,71";"0,000";"6,96";"6,44";"0,00";"0,00";"1,53";"0,50";"0,18";"0,85";"0,00";"7,11";"0,00";"0,00";"0,00";"0,00"
"60,99";"LUCIANO : COXÃO DURO PORC Kg";"18082";"KG 1";"11,652";"2,52";"385,10";"385,10";"9,68";"547,53";"9,41";"2,63";"0,00";"87,14";"7,99";"15,92";"42,18";"29,67";"87,14";"7,99";"15,92";"0,012";"0,43";"0,012";"385,10";"385,10";"0,00";"0,00";"75,29";"24,64";"9,03";"41,61";"0,00";"371,79";"0,00";"0,00";"0,00";"0,00"
"69,17";"LUCIANO : COXÃO MOLE PORC Kg";"18095";"KG 1";"9,350";"2,02";"325,29";"325,29";"8,18";"448,71";"7,71";"3,92";"0,00";"61,72";"5,66";"13,76";"37,94";"27,51";"61,72";"5,66";"13,76";"0,009";"0,32";"0,009";"325,29";"325,29";"0,00";"0,00";"61,70";"20,19";"7,40";"34,10";"0,00";"317,89";"0,00";"0,00";"0,00";"0,00"
"69,70";"LUCIANO : FÍGADO BOVINO Kg";"14465";"KG 1";"1,838";"0,40";"21,05";"21,05";"0,53";"36,74";"0,63";"0,99";"0,00";"10,64";"0,98";"28,97";"74,58";"42,72";"10,64";"0,98";"28,97";"0,002";"0,07";"0,002";"21,05";"21,05";"0,00";"0,00";"5,05";"1,65";"0,61";"2,79";"0,00";"21,05";"0,00";"0,00";"0,00";"0,00"
"69,87";"LUCIANO : MIOLO DE ALCATRA BOVINA PORC Kg";"14626";"KG 1";"0,158";"0,03";"6,79";"6,79";"0,17";"10,27";"0,18";"-3,03";"0,00";"2,07";"0,19";"20,13";"51,25";"33,88";"2,07";"0,19";"20,13";"0,000";"0,00";"0,000";"6,79";"6,79";"0,00";"0,00";"1,41";"0,46";"0,17";"0,78";"0,00";"6,59";"0,00";"0,00";"0,00";"0,00"
"69,98";"LUCIANO : MOCOTÓ Kg";"14419";"KG 1";"0,676";"0,15";"4,49";"4,49";"0,11";"8,78";"0,15";"0,36";"0,00";"3,09";"0,28";"35,13";"95,63";"48,88";"3,09";"0,28";"35,13";"0,001";"0,04";"0,001";"4,49";"4,49";"0,00";"0,00";"1,21";"0,40";"0,14";"0,67";"0,00";"4,34";"0,00";"0,00";"0,00";"0,00"
"70,19";"LUCIANO : OSSO BUCO ESPECIAL Kg";"14508";"KG 1";"0,362";"0,08";"8,52";"8,52";"0,21";"12,30";"0,21";"0,31";"0,00";"2,09";"0,19";"17,02";"44,45";"30,77";"2,09";"0,19";"17,02";"0,000";"0,00";"0,000";"8,52";"8,52";"0,00";"0,00";"1,69";"0,55";"0,20";"0,94";"0,00";"8,40";"0,00";"0,00";"0,00";"0,00"
"74,97";"LUCIANO : PATINHO PORCIONADO Kg";"18212";"KG 1";"5,496";"1,19";"190,11";"190,11";"4,78";"291,23";"5,00";"17,27";"0,00";"61,08";"5,60";"20,97";"53,19";"34,72";"61,08";"5,60";"20,97";"0,005";"0,18";"0,005";"190,11";"190,11";"0,00";"0,00";"40,04";"13,11";"4,81";"22,13";"0,00";"191,96";"0,00";"0,00";"0,00";"0,00"
"99,58";"LUCIANO : PONTA PEITO PORC Kg";"18251";"KG 1";"34,788";"7,53";"978,93";"978,93";"24,61";"1.495,54";"25,69";"10,85";"0,00";"310,97";"28,53";"20,79";"52,77";"34,54";"310,97";"28,53";"20,79";"0,035";"1,25";"0,035";"978,93";"978,93";"0,00";"0,00";"205,64";"67,30";"24,68";"113,66";"0,00";"973,58";"0,00";"0,00";"0,00";"0,00"
"99,77";"LUCIANO : PRESUNTO COZIDO SADIA Kg";"17705";"KG 1";"0,356";"0,08";"7,57";"8,14";"0,19";"13,17";"0,23";"0,27";"0,00";"4,38";"0,40";"33,28";"61,70";"38,16";"4,38";"0,40";"33,28";"0,000";"0,00";"0,000";"8,14";"7,57";"0,00";"0,00";"1,22";"0,00";"0,22";"1,00";"0,00";"7,26";"0,00";"0,01";"0,12";"0,00"
"99,90";"LUCIANO : QJO MUSSARELA FAT Kg";"14724";"KG 1";"0,292";"0,06";"5,05";"6,48";"0,13";"14,01";"0,24";"";"0,00";"5,14";"0,47";"36,69";"116,41";"53,79";"5,14";"0,47";"36,69";"0,000";"0,00";"0,000";"6,48";"5,05";"0,00";"0,00";"3,82";"2,52";"0,23";"1,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"100,01";"LUCIANO : RABADA Kg";"14404";"KG 1";"0,200";"0,04";"4,30";"4,30";"0,11";"7,00";"0,12";"0,19";"0,00";"1,74";"0,16";"24,86";"62,90";"38,61";"1,74";"0,16";"24,86";"0,000";"0,00";"0,000";"4,30";"4,30";"0,00";"0,00";"0,96";"0,31";"0,12";"0,53";"0,00";"4,30";"0,00";"0,00";"0,00";"0,00"
"";"TOTAL: 69 linhas";"";"";"462,047";"";"3.978,12";"4.022,06";"";"5.821,17";"";"";"0,00";"1.089,95";"";"18,72";"44,72";"30,90";"1.089,95";"";"18,72";"2,800";"";"0,460";"4.022,31";"3.978,75";"0,00";"0,00";"752,37";"213,95";"96,04";"442,37";"0,00";"3.828,79";"0,00";"0,06";"0,58";"0,00"
